,Temperature,WindSpeed,Pa,Humidity,Rain
2208,36,10,822,53,rain
2209,36,29,912,98,rain
2210,0,8,1011,56,sun
2211,9,26,805,79,rain
2212,21,1,953,76,sun
2213,26,23,855,45,sun
2214,35,11,877,98,rain
2215,32,24,774,60,rain
2216,-5,20,942,10,sun
2217,3,24,870,94,rain
2218,4,9,863,93,rain
2219,-1,17,1011,49,sun
2220,-2,13,799,76,rain
2221,38,13,897,88,rain
2222,22,27,801,5,rain
2223,26,8,1013,54,sun
2224,34,15,803,23,rain
2225,11,21,928,74,sun
2226,6,1,914,29,sun
2227,8,28,1014,10,sun
2228,19,27,801,24,rain
2229,-4,28,774,10,rain
2230,37,24,931,91,rain
2231,32,0,1002,40,rain
2232,23,19,819,24,rain
2233,12,21,992,16,sun
2234,9,11,1004,39,sun
2235,-2,9,756,23,rain
2236,13,20,785,8,rain
2237,9,9,876,65,sun
2238,23,22,763,97,rain
2239,20,0,910,11,sun
2240,6,18,822,94,rain
2241,2,14,785,27,rain
2242,3,9,890,20,sun
2243,-3,21,801,25,rain
2244,15,18,910,80,rain
2245,2,28,901,78,rain
2246,36,18,957,46,rain
2247,9,14,980,44,sun
2248,10,6,978,26,sun
2249,16,12,773,64,rain
2250,24,1,1008,28,sun
2251,30,25,1021,95,rain
2252,10,6,922,25,sun
2253,0,18,950,7,sun
2254,33,29,965,71,rain
2255,35,22,900,65,rain
2256,28,26,888,39,sun
2257,1,27,760,70,rain
2258,25,28,905,7,sun
2259,-8,11,950,58,sun
2260,28,5,757,38,rain
2261,25,22,864,13,sun
2262,3,15,946,5,sun
2263,8,10,773,86,rain
2264,20,3,958,44,sun
2265,15,11,1025,27,sun
2266,-4,12,758,19,rain
2267,-4,11,1011,71,sun
2268,36,22,750,83,rain
2269,17,15,761,90,rain
2270,36,25,961,97,rain
2271,21,17,853,80,rain
2272,23,28,883,23,sun
2273,-8,20,957,34,sun
2274,24,14,922,54,sun
2275,5,29,782,7,rain
2276,-6,21,927,8,sun
2277,21,0,779,56,rain
2278,-4,14,869,95,rain
2279,13,11,1007,4,sun
2280,1,0,769,51,rain
2281,33,12,832,73,rain
2282,34,27,852,32,sun
2283,7,17,898,27,sun
2284,-9,23,764,37,rain
2285,-9,3,943,62,sun
2286,9,2,920,1,sun
2287,35,6,754,78,rain
2288,10,18,888,36,sun
2289,4,3,793,36,rain
2290,34,2,791,66,rain
2291,38,19,845,97,rain
2292,19,19,947,48,sun
2293,20,4,888,45,sun
2294,23,24,806,63,rain
2295,39,21,953,10,sun
2296,6,5,922,69,sun
2297,23,24,927,96,rain
2298,2,29,974,42,sun
2299,32,23,846,4,rain
2300,22,24,770,68,rain
2301,12,2,767,79,rain
2302,25,4,880,22,sun
2303,12,1,958,90,sun
2304,25,14,972,89,sun
2305,1,21,957,1,sun
2306,28,11,897,45,sun
2307,7,28,923,43,sun
2308,2,24,846,70,rain
2309,0,12,895,82,rain
2310,-4,13,870,73,sun
2311,-8,25,956,94,rain
2312,37,20,790,6,rain
2313,2,25,853,18,sun
2314,1,15,1020,89,sun
2315,15,4,984,28,sun
2316,3,28,1002,15,sun
2317,7,14,862,86,rain
2318,18,10,823,90,rain
2319,-1,13,852,55,sun
2320,11,3,1012,21,sun
2321,2,25,823,61,rain
2322,17,21,838,57,rain
2323,-4,24,827,1,rain
2324,6,4,943,37,sun
2325,26,12,952,69,sun
2326,16,4,968,24,sun
2327,-8,26,848,62,rain
2328,10,7,996,76,sun
2329,1,7,958,71,sun
2330,15,3,1002,26,sun
2331,12,19,793,72,rain
2332,2,18,976,79,sun
2333,2,1,810,51,rain
2334,8,14,822,50,rain
2335,11,9,815,17,rain
2336,19,24,857,67,sun
2337,35,25,880,27,sun
2338,28,17,905,36,sun
2339,27,9,774,69,rain
2340,12,1,936,99,rain
2341,5,18,868,72,sun
2342,21,26,856,54,sun
2343,11,20,920,70,sun
2344,-8,18,926,73,sun
2345,35,27,913,36,sun
2346,1,16,891,41,sun
2347,-4,21,773,56,rain
2348,17,29,941,9,sun
2349,2,9,773,46,rain
2350,9,1,1017,62,sun
2351,17,25,987,53,sun
2352,32,27,982,25,sun
2353,-9,19,1002,39,sun
2354,-6,27,774,92,rain
2355,11,8,812,20,rain
2356,30,11,982,67,rain
2357,20,14,959,26,sun
2358,-2,14,760,35,rain
2359,36,18,989,58,rain
2360,37,6,844,57,rain
2361,24,20,845,30,rain
2362,38,2,837,61,rain
2363,-4,22,756,10,rain
2364,0,17,996,35,sun
2365,35,18,1020,34,sun
2366,0,1,802,86,rain
2367,-6,18,879,48,sun
2368,8,21,790,1,rain
2369,9,7,859,36,sun
2370,24,26,1000,3,sun
2371,18,14,775,46,rain
2372,38,15,921,43,rain
2373,24,5,886,38,sun
2374,-7,9,929,17,sun
2375,36,22,854,1,sun
2376,23,19,861,39,sun
2377,32,28,911,13,sun
2378,1,13,938,42,sun
2379,15,28,995,51,sun
2380,19,1,789,60,rain
2381,26,11,757,76,rain
2382,34,29,876,67,rain
2383,2,24,882,45,sun
2384,13,23,773,78,rain
2385,15,25,884,24,sun
2386,34,27,918,79,rain
2387,30,1,865,46,rain
2388,6,4,892,54,sun
2389,14,27,933,4,sun
2390,-8,4,884,76,sun
2391,21,28,796,50,rain
2392,37,10,891,60,rain
2393,25,7,954,43,sun
2394,18,8,956,20,sun
2395,0,28,859,25,sun
2396,6,1,929,12,sun
2397,13,12,972,76,sun
2398,-4,19,885,85,rain
2399,6,4,767,45,rain
2400,-9,23,791,39,rain
2401,21,28,834,27,rain
2402,27,1,978,86,sun
2403,15,12,1012,47,sun
2404,0,28,849,82,rain
2405,0,4,1014,33,sun
2406,17,2,1022,41,sun
2407,-3,14,756,17,rain
2408,-5,22,884,0,sun
2409,-1,25,847,55,rain
2410,26,6,953,47,sun
2411,-2,2,1002,2,sun
2412,19,12,977,34,sun
2413,36,0,958,66,rain
2414,33,1,848,10,rain
2415,38,24,1022,46,rain
2416,15,19,760,8,rain
2417,39,9,860,17,sun
2418,32,24,952,98,rain
2419,33,9,872,36,sun
2420,15,18,964,41,sun
2421,3,18,782,95,rain
2422,37,21,919,99,rain
2423,-6,4,767,65,rain
2424,34,2,943,20,sun
2425,35,11,961,45,rain
2426,18,5,880,69,sun
2427,37,20,833,46,rain
2428,6,19,835,6,rain
2429,18,4,914,27,sun
2430,-2,4,1009,12,sun
2431,32,21,847,17,rain
2432,0,11,824,3,rain
2433,23,8,935,98,rain
2434,6,9,846,64,rain
2435,-5,19,918,55,sun
2436,27,12,957,60,sun
2437,35,7,772,88,rain
2438,35,10,978,65,rain
2439,-4,27,1020,30,sun
2440,-9,18,957,8,sun
2441,3,2,904,53,sun
2442,-6,29,788,20,rain
2443,21,26,764,25,rain
2444,21,15,800,30,rain
2445,28,28,959,73,rain
2446,32,18,878,52,rain
2447,15,0,929,34,sun
2448,12,12,778,96,rain
2449,9,5,975,54,sun
2450,30,7,1015,39,sun
2451,11,15,1004,39,sun
2452,22,5,967,89,sun
2453,12,7,926,9,sun
2454,25,18,966,64,sun
2455,-9,10,1027,47,sun
2456,9,28,813,33,rain
2457,-9,22,869,32,sun
2458,-9,16,844,42,rain
2459,0,19,934,88,rain
2460,13,11,885,53,sun
2461,-9,24,899,12,sun
2462,28,9,762,92,rain
2463,27,9,959,69,sun
2464,7,10,951,97,sun
2465,23,22,843,89,rain
2466,19,3,910,33,sun
2467,20,14,819,18,rain
2468,28,22,773,48,rain
2469,13,9,912,65,sun
2470,23,12,825,72,rain
2471,8,1,909,93,rain
2472,0,6,826,5,rain
2473,39,8,917,57,rain
2474,29,2,958,63,sun
2475,3,25,773,71,rain
2476,3,8,769,62,rain
2477,4,16,833,88,rain
2478,31,26,932,64,rain
2479,8,24,930,62,sun
2480,22,19,844,93,rain
2481,-7,24,750,92,rain
2482,35,26,994,45,rain
2483,-1,21,867,64,sun
2484,18,24,798,51,rain
2485,21,0,958,3,sun
2486,9,16,918,84,rain
2487,25,10,976,89,sun
2488,38,22,929,0,sun
2489,6,5,1022,63,sun
2490,20,22,897,24,sun
2491,21,25,898,16,sun
2492,30,10,956,93,rain
2493,9,24,1017,90,sun
2494,12,14,783,37,rain
2495,15,28,857,43,sun
2496,28,4,981,1,sun
2497,-6,4,769,18,rain
2498,18,14,760,86,rain
2499,3,7,971,80,sun
2500,21,21,1024,84,sun
2501,0,18,962,38,sun
2502,19,10,832,22,rain
2503,18,12,822,82,rain
2504,-6,10,959,27,sun
2505,23,11,918,5,sun
2506,25,20,834,30,rain
2507,0,4,778,48,rain
2508,10,5,790,41,rain
2509,26,23,785,32,rain
2510,29,29,834,66,rain
2511,21,9,921,17,sun
2512,3,23,959,67,sun
2513,5,0,824,33,rain
2514,1,1,750,44,rain
2515,22,22,787,56,rain
2516,36,0,1023,10,sun
2517,10,14,867,7,sun
2518,5,14,877,70,sun
2519,37,16,936,99,rain
2520,15,21,861,47,sun
2521,29,24,960,36,sun
2522,7,5,899,7,sun
2523,39,3,865,51,rain
2524,35,8,754,11,rain
2525,6,13,985,2,sun
2526,30,3,807,10,rain
2527,0,19,904,34,sun
2528,-7,22,970,5,sun
2529,32,19,755,73,rain
2530,9,11,778,48,rain
2531,32,19,813,60,rain
2532,-7,13,799,34,rain
2533,33,14,762,75,rain
2534,37,22,805,18,rain
2535,-8,14,936,83,rain
2536,7,3,795,27,rain
2537,20,1,844,72,rain
2538,17,6,866,57,sun
2539,38,5,1003,55,rain
2540,30,10,992,61,rain
2541,21,0,762,74,rain
2542,23,6,1000,72,sun
2543,31,12,858,9,sun
2544,31,16,911,62,rain
2545,0,5,889,43,sun
2546,14,10,953,90,sun
2547,35,27,865,35,sun
2548,1,18,857,47,sun
2549,32,9,866,47,rain
2550,31,2,923,54,rain
2551,32,18,906,91,rain
2552,23,7,812,73,rain
2553,16,24,774,50,rain
2554,10,26,796,25,rain
2555,7,10,871,93,rain
2556,34,1,824,54,rain
2557,12,26,892,9,sun
2558,5,24,911,18,sun
2559,5,13,932,79,sun
2560,39,15,824,15,rain
2561,29,15,767,46,rain
2562,15,9,982,14,sun
2563,3,3,804,75,rain
2564,39,13,1003,23,sun
2565,10,3,812,6,rain
2566,9,29,817,7,rain
2567,-2,7,831,48,rain
2568,-9,12,802,74,rain
2569,-1,25,919,76,rain
2570,0,21,938,58,sun
2571,34,20,951,16,sun
2572,38,26,958,9,sun
2573,28,14,764,52,rain
2574,3,18,987,77,sun
2575,-8,16,950,77,sun
2576,0,25,777,19,rain
2577,21,15,764,28,rain
2578,0,20,818,49,rain
2579,18,3,949,99,rain
2580,-2,5,784,89,rain
2581,-9,25,965,99,rain
2582,38,24,796,16,rain
2583,33,14,754,88,rain
2584,15,27,803,61,rain
2585,38,2,758,61,rain
2586,-8,15,987,18,sun
2587,22,0,815,28,rain
2588,32,7,836,93,rain
2589,16,19,975,51,sun
2590,3,1,754,68,rain
2591,25,9,939,93,rain
2592,5,15,768,94,rain
2593,22,25,913,0,sun
2594,26,11,914,73,sun
2595,-4,5,874,95,rain
2596,9,5,835,39,rain
2597,0,24,958,89,sun
2598,13,1,897,36,sun
2599,-3,28,876,67,rain
2600,25,18,794,73,rain
2601,33,26,1027,65,rain
2602,5,3,886,59,sun
2603,34,26,965,46,rain
2604,23,24,819,93,rain
2605,36,19,806,28,rain
2606,36,23,814,74,rain
2607,3,18,797,2,rain
2608,18,25,952,29,sun
2609,10,11,972,31,sun
2610,17,24,777,67,rain
2611,-4,11,841,13,rain
2612,0,17,813,83,rain
2613,6,26,760,33,rain
2614,4,27,756,46,rain
2615,-4,1,947,27,sun
2616,11,21,774,69,rain
2617,4,18,908,27,sun
2618,27,21,803,88,rain
2619,16,18,919,22,sun
2620,10,19,855,21,sun
2621,-9,24,896,22,sun
2622,32,1,943,98,rain
2623,5,24,803,52,rain
2624,-2,9,812,10,rain
2625,32,25,759,6,rain
2626,7,11,808,58,rain
2627,1,29,787,15,rain
2628,-3,9,788,51,rain
2629,25,14,834,26,rain
2630,31,24,1010,46,rain
2631,27,2,752,56,rain
2632,17,25,1020,33,sun
2633,11,18,1027,59,sun
2634,34,0,985,53,rain
2635,6,20,779,91,rain
2636,0,9,993,10,sun
2637,-5,2,795,4,rain
2638,37,1,964,69,rain
2639,10,14,795,64,rain
2640,-8,27,818,35,rain
2641,-2,2,786,42,rain
2642,23,13,842,57,rain
2643,-8,23,940,37,sun
2644,35,16,909,52,rain
2645,3,0,867,73,sun
2646,6,2,896,85,rain
2647,12,5,948,55,sun
2648,17,25,902,29,sun
2649,37,26,831,29,rain
2650,1,8,941,47,sun
2651,-3,17,822,76,rain
2652,27,29,821,32,rain
2653,10,2,1014,31,sun
2654,7,24,953,83,sun
2655,-8,26,977,66,rain
2656,13,23,815,45,rain
2657,27,14,939,45,sun
2658,38,1,778,10,rain
2659,38,13,1000,5,sun
2660,3,2,852,99,rain
2661,9,28,767,40,rain
2662,24,12,767,94,rain
2663,34,16,800,18,rain
2664,34,13,822,43,rain
2665,37,3,898,77,rain
2666,2,16,767,35,rain
2667,34,26,999,18,sun
2668,15,20,802,41,rain
2669,1,18,802,3,rain
2670,7,22,952,30,sun
2671,-6,19,937,12,sun
2672,21,4,880,18,sun
2673,3,13,870,42,sun
2674,37,26,825,99,rain
2675,25,28,814,16,rain
2676,14,10,897,44,sun
2677,0,21,758,96,rain
2678,20,4,828,48,rain
2679,14,0,814,3,rain
2680,31,0,821,92,rain
2681,32,17,1024,27,sun
2682,28,23,962,86,sun
2683,36,25,795,8,rain
2684,-3,5,778,54,rain
2685,3,13,1027,91,sun
2686,3,28,919,39,sun
2687,23,8,824,72,rain
2688,-3,0,770,75,rain
2689,27,19,846,38,rain
2690,26,1,825,6,rain
2691,1,9,847,66,rain
2692,15,12,957,78,sun
2693,-7,21,800,61,rain
2694,8,0,925,97,rain
2695,30,27,761,91,rain
2696,7,15,833,7,rain
2697,37,17,1021,1,sun
2698,19,26,949,58,sun
2699,-2,18,778,42,rain
2700,30,11,956,74,rain
2701,31,24,820,76,rain
2702,1,21,989,98,sun
2703,11,3,892,47,sun
2704,37,23,801,9,rain
2705,22,16,1001,4,sun
2706,22,23,893,77,sun
2707,30,20,885,65,rain
2708,31,25,767,87,rain
2709,21,22,875,12,sun
2710,35,10,762,92,rain
2711,18,28,925,63,rain
2712,9,29,833,11,rain
2713,28,29,958,85,rain
2714,23,1,870,7,sun
2715,23,14,750,60,rain
2716,39,4,815,65,rain
2717,34,28,791,65,rain
2718,0,7,812,29,rain
2719,39,5,880,20,sun
2720,23,10,872,0,sun
2721,12,8,937,8,sun
2722,19,11,969,66,sun
2723,4,14,828,83,rain
2724,27,18,858,33,sun
2725,32,5,795,72,rain
2726,6,10,964,65,sun
2727,33,24,1019,59,rain
2728,15,25,894,39,sun
2729,0,17,907,37,sun
2730,5,4,1004,17,sun
2731,15,18,957,34,sun
2732,-8,27,1028,50,sun
2733,-5,28,811,25,rain
2734,6,1,992,45,sun
2735,26,19,967,85,sun
2736,-6,12,798,50,rain
2737,2,5,900,8,sun
2738,22,29,846,92,rain
2739,24,20,884,40,sun
2740,22,19,1012,87,sun
2741,15,26,939,19,sun
2742,26,3,907,2,sun
2743,0,28,995,94,rain
2744,16,16,847,82,rain
2745,13,1,943,62,sun
2746,34,17,781,8,rain
2747,31,6,918,71,rain
2748,6,5,924,78,sun
2749,5,7,760,95,rain
2750,25,8,772,50,rain
2751,32,12,826,19,rain
2752,24,26,821,1,rain
2753,5,21,755,61,rain
2754,4,4,989,1,sun
2755,20,19,842,32,rain
2756,23,7,756,29,rain
2757,24,7,913,46,sun
2758,23,3,966,95,sun
2759,32,7,760,17,rain
2760,23,29,755,7,rain
2761,4,14,784,79,rain
2762,25,28,1025,99,rain
2763,9,14,886,9,sun
2764,-9,27,832,22,rain
2765,-4,6,1000,34,sun
2766,30,24,912,31,sun
2767,0,11,998,20,sun
2768,0,17,947,49,sun
2769,39,28,776,83,rain
2770,-9,16,833,53,rain
2771,30,9,794,81,rain
2772,24,28,954,93,rain
2773,11,16,871,93,rain
2774,22,22,830,5,rain
2775,0,3,844,33,rain
2776,33,4,1011,14,sun
2777,31,24,751,92,rain
2778,19,18,927,70,sun
2779,8,16,947,57,sun
2780,3,12,955,16,sun
2781,5,24,833,29,rain
2782,34,18,993,51,rain
2783,35,14,922,65,rain
2784,9,23,789,54,rain
2785,18,9,962,64,sun
2786,5,26,933,28,sun
2787,22,14,757,5,rain
2788,21,1,933,43,sun
2789,0,9,1007,11,sun
2790,-1,1,769,93,rain
2791,38,22,1022,9,sun
2792,21,16,932,46,sun
2793,13,22,1009,30,sun
2794,8,27,751,72,rain
2795,-4,15,795,67,rain
2796,0,16,925,36,sun
2797,8,28,904,37,sun
2798,36,5,854,16,sun
2799,22,8,854,17,sun
2800,-7,21,812,35,rain
2801,-3,13,827,89,rain
2802,-6,5,930,64,sun
2803,7,0,891,81,rain
2804,35,3,913,13,sun
2805,-6,21,910,90,rain
2806,29,11,871,38,sun
2807,-5,3,859,44,sun
2808,36,7,844,71,rain
2809,-7,28,955,54,sun
2810,27,11,777,61,rain
2811,38,1,993,47,rain
2812,-1,3,778,35,rain
2813,-1,26,835,42,rain
2814,3,18,849,26,rain
2815,-6,7,880,23,sun
2816,28,20,964,82,sun
2817,20,23,760,32,rain
2818,-9,12,1010,74,sun
2819,3,3,885,51,sun
2820,37,11,788,38,rain
2821,0,0,897,37,sun
2822,9,3,774,72,rain
2823,23,2,816,64,rain
2824,11,9,786,52,rain
2825,14,14,1026,25,sun
2826,18,16,883,6,sun
2827,17,18,898,48,sun
2828,8,15,753,41,rain
2829,-9,14,873,3,sun
2830,17,22,944,63,sun
2831,29,23,1022,90,sun
2832,5,19,795,71,rain
2833,22,23,964,19,sun
2834,29,18,996,45,sun
2835,35,23,940,32,sun
2836,3,1,804,48,rain
2837,20,9,947,14,sun
2838,31,16,859,65,rain
2839,-2,11,802,77,rain
2840,14,28,934,46,sun
2841,32,28,759,43,rain
2842,30,25,916,18,sun
2843,12,22,933,91,rain
2844,24,1,763,62,rain
2845,9,26,756,38,rain
2846,24,22,852,14,sun
2847,3,13,798,67,rain
2848,31,16,907,94,rain
2849,25,27,766,12,rain
2850,16,18,836,14,rain
2851,3,14,976,95,sun
2852,38,6,905,99,rain
2853,13,9,918,1,sun
2854,31,3,795,4,rain
2855,33,13,959,53,rain
2856,-1,3,1012,53,sun
2857,-6,20,771,87,rain
2858,-9,12,896,54,sun
2859,39,21,876,97,rain
2860,28,26,822,10,rain
2861,9,3,985,30,sun
2862,18,19,870,4,sun
2863,32,15,870,10,sun
2864,38,4,1005,23,sun
2865,11,22,897,35,sun
2866,39,14,816,1,rain
2867,20,4,770,55,rain
2868,7,9,899,5,sun
2869,38,0,872,78,rain
2870,19,12,790,83,rain
2871,32,15,977,63,rain
2872,39,15,961,65,rain
2873,22,8,891,88,rain
2874,35,9,901,27,sun
2875,29,3,1015,61,sun
2876,1,28,965,25,sun
2877,5,6,892,19,sun
2878,20,28,768,80,rain
2879,0,10,857,61,sun
2880,-7,20,914,93,rain
2881,28,26,827,2,rain
2882,35,7,767,0,rain
2883,20,19,943,60,sun
2884,1,4,963,24,sun
2885,0,25,943,9,sun
2886,0,0,973,59,sun
2887,15,22,873,61,sun
2888,23,8,953,34,sun
2889,23,4,942,18,sun
2890,10,2,819,23,rain
2891,26,11,957,72,sun
2892,3,11,987,87,sun
2893,27,20,765,92,rain
2894,37,17,813,85,rain
2895,28,5,782,45,rain
2896,-9,20,791,11,rain
2897,-2,12,799,13,rain
2898,9,9,993,19,sun
2899,30,27,817,18,rain
2900,8,20,832,18,rain
2901,-7,16,853,7,sun
2902,-1,13,758,41,rain
2903,11,7,998,93,sun
2904,21,18,885,64,sun
2905,-6,22,975,41,sun
2906,21,21,990,58,sun
2907,21,22,937,71,sun
2908,2,6,965,24,sun
2909,36,27,821,75,rain
2910,-1,29,784,11,rain
2911,10,9,782,98,rain
2912,-2,23,755,57,rain
2913,1,17,781,82,rain
2914,14,10,891,20,sun
2915,1,27,766,90,rain
2916,3,18,940,95,rain
2917,0,1,1011,32,sun
2918,-6,15,823,46,rain
2919,25,14,776,81,rain
2920,20,9,862,4,sun
2921,13,26,853,25,sun
2922,13,15,820,99,rain
2923,25,12,819,46,rain
2924,-4,15,940,16,sun
2925,3,1,769,46,rain
2926,37,8,841,20,rain
2927,12,26,961,92,rain
2928,7,21,771,18,rain
2929,36,15,899,99,rain
2930,8,22,777,73,rain
2931,0,25,870,24,sun
2932,6,24,808,74,rain
2933,8,20,1024,80,sun
2934,12,29,930,57,sun
2935,1,6,941,21,sun
2936,21,27,922,31,sun
2937,38,29,824,6,rain
2938,26,26,862,64,rain
2939,37,25,980,24,sun
2940,28,14,896,86,rain
2941,-8,14,1017,84,sun
2942,4,2,786,51,rain
2943,5,0,952,87,sun
2944,19,7,781,99,rain
2945,37,28,930,26,sun
2946,38,24,1029,95,rain
2947,-5,22,998,12,sun
2948,-2,14,906,89,rain
2949,4,22,898,78,sun
2950,22,6,859,21,sun
2951,18,0,881,37,sun
2952,-2,9,786,55,rain
2953,5,3,952,66,sun
2954,10,5,935,96,rain
2955,22,5,940,2,sun
2956,8,27,808,50,rain
2957,30,26,857,43,rain
2958,17,24,905,80,rain
2959,31,8,866,77,rain
2960,2,14,775,2,rain
2961,23,8,938,38,sun
2962,16,28,888,24,sun
2963,23,15,927,97,rain
2964,-9,12,1012,50,sun
2965,35,29,995,81,rain
2966,16,12,984,23,sun
2967,24,2,875,42,sun
2968,5,19,1019,44,sun
2969,35,26,915,94,rain
2970,32,14,926,28,sun
2971,15,15,854,45,sun
2972,25,7,918,5,sun
2973,28,6,770,51,rain
2974,6,28,882,16,sun
2975,20,13,762,52,rain
2976,23,12,891,52,sun
2977,10,8,998,4,sun
2978,27,25,972,96,rain
2979,12,19,759,11,rain
2980,20,3,988,29,sun
2981,10,17,998,66,sun
2982,-5,24,1012,52,sun
2983,0,25,907,20,sun
2984,12,18,882,31,sun
2985,33,12,903,69,rain
2986,13,21,931,81,rain
2987,-7,3,756,61,rain
2988,-6,27,910,90,rain
2989,13,27,886,75,rain
2990,8,13,1003,56,sun
2991,-6,20,941,48,sun
2992,9,3,796,75,rain
2993,27,17,855,78,sun
2994,39,8,875,65,rain
2995,29,20,796,80,rain
2996,33,4,1017,53,rain
2997,-3,4,939,68,sun
2998,33,4,1025,25,sun
2999,0,16,791,17,rain
3000,2,18,874,67,sun
3001,26,17,763,33,rain
3002,0,14,939,26,sun
3003,3,25,750,46,rain
3004,10,20,795,8,rain
3005,25,27,961,7,sun
3006,25,13,802,4,rain
3007,-4,2,917,15,sun
3008,-5,14,941,59,sun
3009,35,13,854,1,sun
3010,26,3,811,12,rain
3011,15,25,824,52,rain
3012,33,23,802,49,rain
3013,36,4,817,45,rain
3014,32,8,1022,46,rain
3015,10,29,999,26,sun
3016,7,14,889,81,rain
3017,6,0,922,68,sun
3018,24,3,901,61,sun
3019,29,20,874,68,sun
3020,13,0,821,13,rain
3021,13,22,923,85,rain
3022,19,13,779,60,rain
3023,19,22,934,76,sun
3024,-2,11,758,52,rain
3025,2,29,825,61,rain
3026,27,28,1003,28,sun
3027,-8,7,790,37,rain
3028,26,18,938,94,rain
3029,20,2,907,7,sun
3030,34,23,907,0,sun
3031,24,25,977,87,rain
3032,38,0,976,26,sun
3033,10,20,909,85,rain
3034,18,22,896,24,sun
3035,33,29,800,74,rain
3036,0,25,795,65,rain
3037,22,2,869,61,sun
3038,15,23,956,97,sun
3039,16,20,980,53,sun
3040,15,10,789,63,rain
3041,-7,16,860,47,sun
3042,0,14,885,33,sun
3043,7,20,823,58,rain
3044,16,7,965,88,sun
3045,7,11,928,55,sun
3046,23,1,1028,63,sun
3047,30,6,760,17,rain
3048,5,12,822,93,rain
3049,5,24,865,2,sun
3050,0,16,910,70,sun
3051,12,10,1029,10,sun
3052,-5,1,792,49,rain
3053,6,7,763,14,rain
3054,37,26,754,5,rain
3055,23,23,846,70,rain
3056,32,14,970,43,rain
3057,2,6,939,2,sun
3058,16,13,920,73,sun
3059,26,3,907,26,sun
3060,11,9,977,99,sun
3061,37,7,1011,37,sun
3062,32,23,999,19,sun
3063,24,13,983,26,sun
3064,6,1,871,49,sun
3065,32,6,822,84,rain
3066,16,6,803,75,rain
3067,21,20,845,51,rain
3068,-9,9,956,40,sun
3069,29,26,759,17,rain
3070,25,12,988,74,sun
3071,8,21,953,65,sun
3072,37,24,910,99,rain
3073,11,5,993,21,sun
3074,23,24,931,75,sun
3075,24,4,993,40,sun
3076,22,1,944,70,sun
3077,35,9,899,42,rain
3078,10,28,934,45,sun
3079,14,21,762,66,rain
3080,20,18,1017,79,sun
3081,34,6,801,27,rain
3082,7,12,764,44,rain
3083,15,11,846,88,rain
3084,7,6,1000,47,sun
3085,-5,26,779,3,rain
3086,39,6,829,79,rain
3087,3,7,918,84,rain
3088,3,20,895,76,sun
3089,22,13,915,7,sun
3090,28,29,963,60,rain
3091,6,22,833,59,rain
3092,4,10,1009,5,sun
3093,20,0,966,22,sun
3094,21,1,919,54,sun
3095,19,19,869,89,rain
3096,27,17,888,25,sun
3097,-8,29,995,31,sun
3098,12,27,910,29,sun
3099,-2,27,776,88,rain
3100,-4,4,895,5,sun
3101,1,4,787,8,rain
3102,-8,17,839,13,rain
3103,-9,25,1013,1,sun
3104,10,28,982,83,rain
3105,7,28,922,51,sun
3106,-2,16,796,22,rain
3107,21,0,810,80,rain
3108,29,13,907,39,sun
3109,23,17,983,81,sun
3110,3,26,987,81,rain
3111,-3,15,896,76,sun
3112,32,6,797,18,rain
3113,30,8,994,1,sun
3114,14,25,847,72,rain
3115,-2,14,944,83,rain
3116,8,25,843,42,rain
3117,4,15,899,50,sun
3118,36,28,933,52,rain
3119,34,21,848,92,rain
3120,23,0,762,83,rain
3121,1,9,761,3,rain
3122,22,27,981,55,sun
3123,16,22,969,10,sun
3124,4,18,804,8,rain
3125,24,2,908,72,sun
3126,-7,11,953,71,sun
3127,19,12,989,64,sun
3128,-3,18,962,71,sun
3129,25,29,985,35,sun
3130,28,3,959,82,sun
3131,17,6,1020,69,sun
3132,-1,13,947,81,rain
3133,26,22,866,35,sun
3134,-7,22,1008,25,sun
3135,2,27,831,86,rain
3136,-2,13,989,95,sun
3137,-9,15,990,38,sun
3138,13,7,790,61,rain
3139,3,4,799,81,rain
3140,28,18,756,11,rain
3141,33,6,779,97,rain
3142,36,28,1016,17,sun
3143,-6,0,881,2,sun
3144,39,29,761,1,rain
3145,23,16,939,7,sun
3146,15,25,878,40,sun
3147,24,18,971,21,sun
3148,38,15,883,21,sun
3149,22,7,817,5,rain
3150,6,28,982,30,sun
3151,3,17,756,2,rain
3152,38,8,761,20,rain
3153,31,11,871,54,rain
3154,-9,14,817,17,rain
3155,12,21,1012,7,sun
3156,31,8,998,58,rain
3157,-3,16,913,38,sun
3158,24,0,894,73,sun
3159,2,0,936,67,sun
3160,9,14,930,88,rain
3161,-3,7,913,77,sun
3162,13,27,939,26,sun
3163,38,19,860,86,rain
3164,30,15,969,52,rain
3165,15,24,774,62,rain
3166,18,1,769,1,rain
3167,38,4,802,39,rain
3168,21,9,940,28,sun
3169,0,20,865,83,rain
3170,19,27,976,96,rain
3171,-4,15,794,81,rain
3172,3,28,855,15,sun
3173,27,20,911,62,sun
3174,39,25,961,44,rain
3175,37,27,835,83,rain
3176,19,4,783,13,rain
3177,20,7,952,10,sun
3178,39,3,783,64,rain
3179,14,20,1007,14,sun
3180,21,9,893,41,sun
3181,18,22,914,37,sun
3182,18,17,952,82,sun
3183,19,10,787,90,rain
3184,22,16,769,16,rain
3185,1,8,925,40,sun
3186,-4,17,898,74,sun
3187,36,26,888,20,sun
3188,-4,20,910,45,sun
